ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-04-10,8271.91998407087,6703.997062834792,8085.094767871155,8271.91998407087,8271.91998407087,-832.7920630711965,-832.7920630711965,-832.7920630711965,135.66463114525956,135.66463114525956,135.66463114525956,-968.456694216456,-968.456694216456,-968.456694216456,0.0,0.0,0.0,7439.127920999674
2023-04-11,8270.149704065894,6830.636520358771,8163.109865904299,8270.149704065894,8270.149704065894,-770.9945901447599,-770.9945901447599,-770.9945901447599,201.0391577181228,201.0391577181228,201.0391577181228,-972.0337478628825,-972.0337478628825,-972.0337478628825,0.0,0.0,0.0,7499.155113921134
2023-04-12,8268.379424060917,6874.117775936622,8198.843580395382,8268.379424060917,8268.379424060917,-738.5399335214704,-738.5399335214704,-738.5399335214704,233.471386436772,233.471386436772,233.471386436772,-972.0113199582423,-972.0113199582423,-972.0113199582423,0.0,0.0,0.0,7529.839490539446
2023-04-13,8266.609144055941,6837.176162493781,8222.774534572816,8266.609144055941,8266.609144055941,-749.4990645174282,-749.4990645174282,-749.4990645174282,218.76751542421306,218.76751542421306,218.76751542421306,-968.2665799416411,-968.2665799416411,-968.2665799416411,0.0,0.0,0.0,7517.110079538513
2023-04-16,8261.298304041014,6709.284916151826,8132.3812660039475,8261.298304041014,8261.298304041014,-825.2968358618925,-825.2968358618925,-825.2968358618925,108.83944472948494,108.83944472948494,108.83944472948494,-934.1362805913775,-934.1362805913775,-934.1362805913775,0.0,0.0,0.0,7436.001468179122
2023-04-17,8259.528024036037,6820.6407782512415,8214.473845869341,8259.528024036037,8259.528024036037,-779.5066181275838,-779.5066181275838,-779.5066181275838,135.6646311441935,135.6646311441935,135.6646311441935,-915.1712492717771,-915.1712492717771,-915.1712492717771,0.0,0.0,0.0,7480.021405908454
2023-04-18,8257.757744031062,6831.228444797882,8246.156494721445,8257.757744031062,8257.757744031062,-691.5124511386849,-691.5124511386849,-691.5124511386849,201.03915772023308,201.03915772023308,201.03915772023308,-892.551608858918,-892.551608858918,-892.551608858918,0.0,0.0,0.0,7566.245292892377
2023-04-19,8255.987464026084,6888.347419709779,8272.509564534566,8255.987464026084,8255.987464026084,-632.9599560245557,-632.9599560245557,-632.9599560245557,233.4713864374351,233.4713864374351,233.4713864374351,-866.4313424619907,-866.4313424619907,-866.4313424619907,0.0,0.0,0.0,7623.027508001528
2023-04-20,8254.217184021109,6918.529052587442,8356.55882702056,8254.217184021109,8254.217184021109,-618.2424947088192,-618.2424947088192,-618.2424947088192,218.76751542532318,218.76751542532318,218.76751542532318,-837.0100101341422,-837.0100101341422,-837.0100101341422,0.0,0.0,0.0,7635.974689312289
2023-04-23,8248.90634400618,6900.859473669194,8319.585627423367,8248.90634400618,8248.90634400618,-622.7403609914569,-622.7403609914569,-622.7403609914569,108.83944472685162,108.83944472685162,108.83944472685162,-731.5798057183085,-731.5798057183085,-731.5798057183085,0.0,0.0,0.0,7626.165983014723
